,Instance,Region,Availability Zone,Average Price,Average Price Across Zones
0,c5.2xlarge,us-east-1,a,0.192,0.183
1,,,b,0.174,
2,,,c,0.185,
3,,,d,0.179,
4,,,f,0.185,
5,,us-east-2,a,0.083,0.084
6,,,b,0.085,
7,,,c,0.085,
8,,us-west-2,a,0.138,0.149
9,,,b,0.138,
10,,,c,0.145,
11,,,d,0.174,
12,c5.4xlarge,us-east-1,a,0.259,0.288
13,,,b,0.261,
14,,,c,0.259,
15,,,d,0.323,
16,,,f,0.337,
17,,us-east-2,a,0.152,0.152
18,,,b,0.152,
19,,,c,0.152,
20,,us-west-2,a,0.258,0.266
21,,,b,0.258,
22,,,c,0.258,
23,,,d,0.289,
24,p3.2xlarge,us-east-1,a,0.918,0.918
25,,,c,0.918,
26,,,d,0.918,
27,,,f,0.918,
28,,us-east-2,a,0.918,0.918
29,,,b,0.918,
30,,us-west-2,a,0.918,0.918
31,,,b,0.918,
32,,,c,0.918,
